Nome do Jogo,Nome da Expansão,Imagem de Capa,Data de Lançamento,Preço Atual,Qtd. de Avaliações,Qualidade de Avaliações
American Truck Simulator,Iowa,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3025440/222c3937cc8452d714803b659f380b03464d754f/header.jpg?t=1752305973,"10 Jul, 2025","R$ 39,49",240,Very Positive
American Truck Simulator,Missouri,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2730870/bad9f1f8042c71ceacef1db168d2e81d9b565369/header.jpg?t=1746011996,"3 Apr, 2025","R$ 39,49",255,Very Positive
American Truck Simulator,Arkansas,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2585150/3fd4fa09d83907b4ab92c085bb2ffea9d65898d5/header.jpg?t=1754033261,"16 Sep, 2024","R$ 39,49",280,Very Positive
American Truck Simulator,Nebraska,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2543810/bc6eded799a48c71db809252e8de8283bce4c031/header.jpg?t=1754033623,"16 May, 2024","R$ 39,49",276,Very Positive
American Truck Simulator,Kansas,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2298430/7bdad773e47028e7e62c0f668c747c80b9e3e206/header.jpg?t=1754042781,"30 Nov, 2023","R$ 39,49",295,Very Positive
American Truck Simulator,Oklahoma,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2209650/4a91c34058c633525ceede79b0405f6b898e3800/header.jpg?t=1754043335,"1 Aug, 2023","R$ 39,49",415,Mostly Positive
American Truck Simulator,Texas,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1465750/d6469452bdc0f142dd7082bbddcdbf6d0baa5b91/header.jpg?t=1754043776,"15 Nov, 2022","R$ 56,99",689,Very Positive
American Truck Simulator,Montana,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1811080/872cbcd0455ebdbddc8bee949167ad3d94a2d576/header.jpg?t=1754044159,"4 Aug, 2022","R$ 39,49",471,Very Positive
American Truck Simulator,Wyoming,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1415692/4f60bd308636047c52f89aa552e04a89281f056a/header.jpg?t=1754044775,"7 Sep, 2021","R$ 39,49",470,Very Positive
American Truck Simulator,Colorado,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1209471/7eb61326d415b68cd939edb6be15a4204ffc1fe3/header.jpg?t=1754045050,"12 Nov, 2020","R$ 39,49",714,Very Positive
American Truck Simulator,Idaho,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1209470/6e187715ab9c5bc268c27769ea63b3b68c09bb05/header.jpg?t=1754045169,"16 Jul, 2020","R$ 39,49",598,Very Positive
American Truck Simulator,Utah,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1104880/6866516da02796da8e78f321145591f8216bc613/header.jpg?t=1754045254,"7 Nov, 2019","R$ 39,49",514,Very Positive
American Truck Simulator,Washington,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1015160/9111fc650d28ac74fe49a19efff1ce9b5679f529/header.jpg?t=1754045433,"11 Jun, 2019","R$ 39,49",711,Very Positive
American Truck Simulator,Oregon,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/800370/55226a12a27a04a8051d359ba939f82a8f64cc5c/header.jpg?t=1754045672,"4 Oct, 2018","R$ 39,49",890,Very Positive
American Truck Simulator,New Mexico,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/684630/2a96b1a50d83e8fd95ebc61756841717887b0b25/header.jpg?t=1773410717,"9 Nov, 2017","R$ 39,49",985,Very Positive
American Truck Simulator,Arizona,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/463740/559d379af54c1d5f48a0efb132ed7a55bb587ef0/header.jpg?t=1773410957,"6 Jun, 2016",,1234,Overwhelmingly Positive
